held_out,candidate,legacy_train,corrected_train
DZA,DZA,False,False
DZA,AGO,True,True
DZA,BEN,True,True
DZA,BWA,True,True
DZA,BFA,True,True
DZA,BDI,True,True
DZA,CMR,True,True
DZA,CAF,True,True
DZA,TCD,False,False
DZA,COG,True,True
DZA,COD,True,True
DZA,CIV,True,True
DZA,DJI,True,True
DZA,EGY,True,True
DZA,GNQ,True,True
DZA,ERI,True,True
DZA,ETH,True,True
DZA,GAB,True,True
DZA,GHA,True,True
DZA,GIN,True,True
DZA,GNB,True,True
DZA,KEN,True,True
DZA,LSO,True,True
DZA,LBR,True,True
DZA,LBY,False,False
DZA,MDG,True,True
DZA,MWI,True,True
DZA,MLI,False,False
DZA,MRT,False,False
DZA,MAR,False,False
DZA,MOZ,True,True
DZA,NAM,True,True
DZA,NER,False,False
DZA,NGA,True,True
DZA,RWA,True,True
DZA,SEN,True,True
DZA,SLE,True,True
DZA,SOM,True,True
DZA,ZAF,True,True
DZA,SDN,True,True
DZA,SWZ,True,True
DZA,TZA,True,True
DZA,TGO,True,True
DZA,TUN,False,False
DZA,UGA,True,True
DZA,ZMB,True,True
DZA,ZWE,True,True
DZA,AFG,True,True
DZA,ARM,True,True
DZA,AZE,True,True
DZA,BGD,True,True
DZA,MMR,True,True
DZA,KHM,True,True
DZA,CHN,True,True
DZA,GEO,True,True
DZA,IND,True,True
DZA,IDN,True,True
DZA,IRN,True,True
DZA,IRQ,True,True
DZA,ISR,True,True
DZA,JPN,True,True
DZA,JOR,True,True
DZA,KAZ,True,True
DZA,LAO,True,True
DZA,LBN,True,True
DZA,MYS,True,True
DZA,MNG,True,True
DZA,NPL,True,True
DZA,OMN,True,True
DZA,PAK,True,True
DZA,PHL,True,True
DZA,QAT,True,True
DZA,SAU,True,True
DZA,KOR,True,True
DZA,LKA,True,True
DZA,SYR,True,True
DZA,TWN,True,True
DZA,TJK,True,True
DZA,THA,True,True
DZA,TUR,True,True
DZA,TKM,True,True
DZA,ARE,True,True
DZA,UZB,True,True
DZA,VNM,True,True
DZA,YEM,True,True
DZA,ALB,True,True
DZA,AUT,True,True
DZA,BLR,True,True
DZA,BEL,True,True
DZA,BIH,True,True
DZA,BGR,True,True
DZA,HRV,True,True
DZA,CYP,True,True
DZA,CZE,True,True
DZA,DNK,True,True
DZA,EST,True,True
DZA,FIN,True,True
DZA,FRA,True,False
DZA,DEU,True,True
DZA,GRC,True,True
DZA,HUN,True,True
DZA,ISL,True,True
DZA,IRL,True,True
DZA,ITA,False,False
DZA,LVA,True,True
DZA,LTU,True,True
DZA,MKD,True,True
DZA,MDA,True,True
DZA,MNE,True,True
DZA,NLD,True,True
DZA,NOR,True,True
DZA,POL,True,True
DZA,PRT,True,True
DZA,ROU,True,True
DZA,RUS,True,True
DZA,SRB,True,True
DZA,SVK,True,True
DZA,SVN,True,True
DZA,ESP,False,False
DZA,SWE,True,True
DZA,CHE,True,True
DZA,UKR,True,True
DZA,GBR,True,True
DZA,BHS,True,True
DZA,CAN,True,True
DZA,CRI,True,True
DZA,CUB,True,True
DZA,DOM,True,True
DZA,SLV,True,True
DZA,GTM,True,True
DZA,HTI,True,True
DZA,HND,True,True
DZA,JAM,True,True
DZA,MEX,True,True
DZA,NIC,True,True
DZA,PAN,True,True
DZA,USA,True,True
DZA,AUS,True,True
DZA,NZL,True,True
DZA,PNG,True,True
DZA,ARG,True,True
DZA,BOL,True,True
DZA,BRA,True,True
DZA,CHL,True,True
DZA,COL,True,True
DZA,ECU,True,True
DZA,PRY,True,True
DZA,PER,True,True
DZA,SUR,True,True
DZA,URY,True,True
DZA,VEN,True,True
AGO,DZA,True,True
AGO,AGO,False,False
AGO,BEN,True,True
AGO,BWA,False,False
AGO,BFA,True,True
AGO,BDI,True,True
AGO,CMR,True,True
AGO,CAF,True,True
AGO,TCD,True,True
AGO,COG,False,False
AGO,COD,False,False
AGO,CIV,True,True
AGO,DJI,True,True
AGO,EGY,True,True
AGO,GNQ,True,True
AGO,ERI,True,True
AGO,ETH,True,True
AGO,GAB,False,False
AGO,GHA,True,True
AGO,GIN,True,True
AGO,GNB,True,True
AGO,KEN,True,True
AGO,LSO,True,True
AGO,LBR,True,True
AGO,LBY,True,True
AGO,MDG,True,True
AGO,MWI,True,True
AGO,MLI,True,True
AGO,MRT,True,True
AGO,MAR,True,True
AGO,MOZ,True,True
AGO,NAM,False,False
AGO,NER,True,True
AGO,NGA,True,True
AGO,RWA,True,True
AGO,SEN,True,True
AGO,SLE,True,True
AGO,SOM,True,True
AGO,ZAF,True,True
AGO,SDN,True,True
AGO,SWZ,True,True
AGO,TZA,True,True
AGO,TGO,True,True
AGO,TUN,True,True
AGO,UGA,True,True
AGO,ZMB,False,False
AGO,ZWE,False,False
AGO,AFG,True,True
AGO,ARM,True,True
AGO,AZE,True,True
AGO,BGD,True,True
AGO,MMR,True,True
AGO,KHM,True,True
AGO,CHN,True,True
AGO,GEO,True,True
AGO,IND,True,True
AGO,IDN,True,True
AGO,IRN,True,True
AGO,IRQ,True,True
AGO,ISR,True,True
AGO,JPN,True,True
AGO,JOR,True,True
AGO,KAZ,True,True
AGO,LAO,True,True
AGO,LBN,True,True
AGO,MYS,True,True
AGO,MNG,True,True
AGO,NPL,True,True
AGO,OMN,True,True
AGO,PAK,True,True
AGO,PHL,True,True
AGO,QAT,True,True
AGO,SAU,True,True
AGO,KOR,True,True
AGO,LKA,True,True
AGO,SYR,True,True
AGO,TWN,True,True
AGO,TJK,True,True
AGO,THA,True,True
AGO,TUR,True,True
AGO,TKM,True,True
AGO,ARE,True,True
AGO,UZB,True,True
AGO,VNM,True,True
AGO,YEM,True,True
AGO,ALB,True,True
AGO,AUT,True,True
AGO,BLR,True,True
AGO,BEL,True,True
AGO,BIH,True,True
AGO,BGR,True,True
AGO,HRV,True,True
AGO,CYP,True,True
AGO,CZE,True,True
AGO,DNK,True,True
AGO,EST,True,True
AGO,FIN,True,True
AGO,FRA,True,True
AGO,DEU,True,True
AGO,GRC,True,True
AGO,HUN,True,True
AGO,ISL,True,True
AGO,IRL,True,True
AGO,ITA,True,True
AGO,LVA,True,True
AGO,LTU,True,True
AGO,MKD,True,True
AGO,MDA,True,True
AGO,MNE,True,True
AGO,NLD,True,True
AGO,NOR,True,True
AGO,POL,True,True
AGO,PRT,True,True
AGO,ROU,True,True
AGO,RUS,True,True
AGO,SRB,True,True
AGO,SVK,True,True
AGO,SVN,True,True
AGO,ESP,True,True
AGO,SWE,True,True
AGO,CHE,True,True
AGO,UKR,True,True
AGO,GBR,True,True
AGO,BHS,True,True
AGO,CAN,True,True
AGO,CRI,True,True
AGO,CUB,True,True
AGO,DOM,True,True
AGO,SLV,True,True
AGO,GTM,True,True
AGO,HTI,True,True
AGO,HND,True,True
AGO,JAM,True,True
AGO,MEX,True,True
AGO,NIC,True,True
AGO,PAN,True,True
AGO,USA,True,True
AGO,AUS,True,True
AGO,NZL,True,True
AGO,PNG,True,True
AGO,ARG,True,True
AGO,BOL,True,True
AGO,BRA,True,True
AGO,CHL,True,True
AGO,COL,True,True
AGO,ECU,True,True
AGO,PRY,True,True
AGO,PER,True,True
AGO,SUR,True,True
AGO,URY,True,True
AGO,VEN,True,True
BEN,DZA,True,True
BEN,AGO,True,True
BEN,BEN,False,False
BEN,BWA,True,True
BEN,BFA,False,False
BEN,BDI,True,True
BEN,CMR,True,True
BEN,CAF,True,True
BEN,TCD,True,True
BEN,COG,True,True
BEN,COD,True,True
BEN,CIV,True,False
BEN,DJI,True,True
BEN,EGY,True,True
BEN,GNQ,True,True
BEN,ERI,True,True
BEN,ETH,True,True
BEN,GAB,True,True
BEN,GHA,False,False
BEN,GIN,True,True
BEN,GNB,True,True
BEN,KEN,True,True
BEN,LSO,True,True
BEN,LBR,True,True
BEN,LBY,True,True
BEN,MDG,True,True
BEN,MWI,True,True
BEN,MLI,False,False
BEN,MRT,True,True
BEN,MAR,True,True
BEN,MOZ,True,True
BEN,NAM,True,True
BEN,NER,False,False
BEN,NGA,False,False
BEN,RWA,True,True
BEN,SEN,True,True
BEN,SLE,True,True
BEN,SOM,True,True
BEN,ZAF,True,True
BEN,SDN,True,True
BEN,SWZ,True,True
BEN,TZA,True,True
BEN,TGO,False,False
BEN,TUN,True,True
BEN,UGA,True,True
BEN,ZMB,True,True
BEN,ZWE,True,True
BEN,AFG,True,True
BEN,ARM,True,True
BEN,AZE,True,True
BEN,BGD,True,True
BEN,MMR,True,True
BEN,KHM,True,True
BEN,CHN,True,True
BEN,GEO,True,True
BEN,IND,True,True
BEN,IDN,True,True
BEN,IRN,True,True
BEN,IRQ,True,True
BEN,ISR,True,True
BEN,JPN,True,True
BEN,JOR,True,True
BEN,KAZ,True,True
BEN,LAO,True,True
BEN,LBN,True,True
BEN,MYS,True,True
BEN,MNG,True,True
BEN,NPL,True,True
BEN,OMN,True,True
BEN,PAK,True,True
BEN,PHL,True,True
BEN,QAT,True,True
BEN,SAU,True,True
BEN,KOR,True,True
BEN,LKA,True,True
BEN,SYR,True,True
BEN,TWN,True,True
BEN,TJK,True,True
BEN,THA,True,True
BEN,TUR,True,True
BEN,TKM,True,True
BEN,ARE,True,True
BEN,UZB,True,True
BEN,VNM,True,True
BEN,YEM,True,True
BEN,ALB,True,True
BEN,AUT,True,True
BEN,BLR,True,True
BEN,BEL,True,True
BEN,BIH,True,True
BEN,BGR,True,True
BEN,HRV,True,True
BEN,CYP,True,True
BEN,CZE,True,True
BEN,DNK,True,True
BEN,EST,True,True
BEN,FIN,True,True
BEN,FRA,True,True
BEN,DEU,True,True
BEN,GRC,True,True
BEN,HUN,True,True
BEN,ISL,True,True
BEN,IRL,True,True
BEN,ITA,True,True
BEN,LVA,True,True
BEN,LTU,True,True
BEN,MKD,True,True
BEN,MDA,True,True
BEN,MNE,True,True
BEN,NLD,True,True
BEN,NOR,True,True
BEN,POL,True,True
BEN,PRT,True,True
BEN,ROU,True,True
BEN,RUS,True,True
BEN,SRB,True,True
BEN,SVK,True,True
BEN,SVN,True,True
BEN,ESP,True,True
BEN,SWE,True,True
BEN,CHE,True,True
BEN,UKR,True,True
BEN,GBR,True,True
BEN,BHS,True,True
BEN,CAN,True,True
BEN,CRI,True,True
BEN,CUB,True,True
BEN,DOM,True,True
BEN,SLV,True,True
BEN,GTM,True,True
BEN,HTI,True,True
BEN,HND,True,True
BEN,JAM,True,True
BEN,MEX,True,True
BEN,NIC,True,True
BEN,PAN,True,True
BEN,USA,True,True
BEN,AUS,True,True
BEN,NZL,True,True
BEN,PNG,True,True
BEN,ARG,True,True
BEN,BOL,True,True
BEN,BRA,True,True
BEN,CHL,True,True
BEN,COL,True,True
BEN,ECU,True,True
BEN,PRY,True,True
BEN,PER,True,True
BEN,SUR,True,True
BEN,URY,True,True
BEN,VEN,True,True
BWA,DZA,True,True
BWA,AGO,False,False
BWA,BEN,True,True
BWA,BWA,False,False
BWA,BFA,True,True
BWA,BDI,True,True
BWA,CMR,True,True
BWA,CAF,True,True
BWA,TCD,True,True
BWA,COG,True,True
BWA,COD,True,True
BWA,CIV,True,True
BWA,DJI,True,True
BWA,EGY,True,True
BWA,GNQ,True,True
BWA,ERI,True,True
BWA,ETH,True,True
BWA,GAB,True,True
BWA,GHA,True,True
BWA,GIN,True,True
BWA,GNB,True,True
BWA,KEN,True,True
BWA,LSO,False,False
BWA,LBR,True,True
BWA,LBY,True,True
BWA,MDG,True,True
BWA,MWI,True,True
BWA,MLI,True,True
BWA,MRT,True,True
BWA,MAR,True,True
BWA,MOZ,False,False
BWA,NAM,False,False
BWA,NER,True,True
BWA,NGA,True,True
BWA,RWA,True,True
BWA,SEN,True,True
BWA,SLE,True,True
BWA,SOM,True,True
BWA,ZAF,False,False
BWA,SDN,True,True
BWA,SWZ,True,False
BWA,TZA,True,True
BWA,TGO,True,True
BWA,TUN,True,True
BWA,UGA,True,True
BWA,ZMB,False,False
BWA,ZWE,False,False
BWA,AFG,True,True
BWA,ARM,True,True
BWA,AZE,True,True
BWA,BGD,True,True
BWA,MMR,True,True
BWA,KHM,True,True
BWA,CHN,True,True
BWA,GEO,True,True
BWA,IND,True,True
BWA,IDN,True,True
BWA,IRN,True,True
BWA,IRQ,True,True
BWA,ISR,True,True
BWA,JPN,True,True
BWA,JOR,True,True
BWA,KAZ,True,True
BWA,LAO,True,True
BWA,LBN,True,True
BWA,MYS,True,True
BWA,MNG,True,True
BWA,NPL,True,True
BWA,OMN,True,True
BWA,PAK,True,True
BWA,PHL,True,True
BWA,QAT,True,True
BWA,SAU,True,True
BWA,KOR,True,True
BWA,LKA,True,True
BWA,SYR,True,True
BWA,TWN,True,True
BWA,TJK,True,True
BWA,THA,True,True
BWA,TUR,True,True
BWA,TKM,True,True
BWA,ARE,True,True
BWA,UZB,True,True
BWA,VNM,True,True
BWA,YEM,True,True
BWA,ALB,True,True
BWA,AUT,True,True
BWA,BLR,True,True
BWA,BEL,True,True
BWA,BIH,True,True
BWA,BGR,True,True
BWA,HRV,True,True
BWA,CYP,True,True
BWA,CZE,True,True
BWA,DNK,True,True
BWA,EST,True,True
BWA,FIN,True,True
BWA,FRA,True,True
BWA,DEU,True,True
BWA,GRC,True,True
BWA,HUN,True,True
BWA,ISL,True,True
BWA,IRL,True,True
BWA,ITA,True,True
BWA,LVA,True,True
BWA,LTU,True,True
BWA,MKD,True,True
BWA,MDA,True,True
BWA,MNE,True,True
BWA,NLD,True,True
BWA,NOR,True,True
BWA,POL,True,True
BWA,PRT,True,True
BWA,ROU,True,True
BWA,RUS,True,True
BWA,SRB,True,True
BWA,SVK,True,True
BWA,SVN,True,True
BWA,ESP,True,True
BWA,SWE,True,True
BWA,CHE,True,True
BWA,UKR,True,True
BWA,GBR,True,True
BWA,BHS,True,True
BWA,CAN,True,True
BWA,CRI,True,True
BWA,CUB,True,True
BWA,DOM,True,True
BWA,SLV,True,True
BWA,GTM,True,True
BWA,HTI,True,True
BWA,HND,True,True
BWA,JAM,True,True
BWA,MEX,True,True
BWA,NIC,True,True
BWA,PAN,True,True
BWA,USA,True,True
BWA,AUS,True,True
BWA,NZL,True,True
BWA,PNG,True,True
BWA,ARG,True,True
BWA,BOL,True,True
BWA,BRA,True,True
BWA,CHL,True,True
BWA,COL,True,True
BWA,ECU,True,True
BWA,PRY,True,True
BWA,PER,True,True
BWA,SUR,True,True
BWA,URY,True,True
BWA,VEN,True,True
BFA,DZA,True,True
BFA,AGO,True,True
BFA,BEN,False,False
BFA,BWA,True,True
BFA,BFA,False,False
BFA,BDI,True,True
BFA,CMR,True,True
BFA,CAF,True,True
BFA,TCD,True,True
BFA,COG,True,True
BFA,COD,True,True
BFA,CIV,False,False
BFA,DJI,True,True
BFA,EGY,True,True
BFA,GNQ,True,True
BFA,ERI,True,True
BFA,ETH,True,True
BFA,GAB,True,True
BFA,GHA,False,False
BFA,GIN,False,False
BFA,GNB,True,True
BFA,KEN,True,True
BFA,LSO,True,True
BFA,LBR,True,False
BFA,LBY,True,True
BFA,MDG,True,True
BFA,MWI,True,True
BFA,MLI,False,False
BFA,MRT,False,False
BFA,MAR,True,True
BFA,MOZ,True,True
BFA,NAM,True,True
BFA,NER,False,False
BFA,NGA,False,False
BFA,RWA,True,True
BFA,SEN,True,True
BFA,SLE,True,True
BFA,SOM,True,True
BFA,ZAF,True,True
BFA,SDN,True,True
BFA,SWZ,True,True
BFA,TZA,True,True
BFA,TGO,False,False
BFA,TUN,True,True
BFA,UGA,True,True
BFA,ZMB,True,True
BFA,ZWE,True,True
BFA,AFG,True,True
BFA,ARM,True,True
BFA,AZE,True,True
BFA,BGD,True,True
